,PC1_news
0,-0.3534211958243686
1,1.826639957177331
2,-0.3908863669721472
3,1.9673317260470011
4,0.6004481890271715
5,0.9577495209842276
6,-0.46581670926770435
7,-0.48454929484159365
8,0.16764741523429938
9,-0.5220144659893723
10,0.2978144200996937
11,0.2790818345258045
12,-0.5782122227110402
13,0.7916083830241868
14,1.0524527816913853
15,-0.6344099794327082
16,2.9250198722318164
17,0.7003000073552837
18,-0.6906077361543761
19,-0.7093403217282654
20,0.9502677993410535
21,-0.746805492876044
22,-0.7655380784499334
23,0.3785357196999403
24,-0.38073579667678725
25,1.703719711333503
26,-0.8404684207454906
27,-0.09720045245948089
28,-0.9450679479061881
29,0.4438557778448541
30,-0.9153987630410477
31,-0.9341313486149371
32,-0.9528639341888264
33,0.7077845042178592
34,3.0029482702993153
35,1.2549176705732985
36,-0.2582321395253797
37,2.1343766621020634
38,0.9781415718070963
39,1.3002761279622683
40,-3.1359260508543305
41,-0.6048070314808774
42,-1.1401897899277194
43,-1.1589223755016087
44,-1.177654961075498
45,-1.1963875466493872
46,-1.2151201322232765
47,-1.2338527177971659
48,-1.2525853033710552
49,-0.6397713462928455
